case_id,slug,estimate_field,has_estimate_and_ci_schema,extracted_records,complete_estimate_ci_rows,numeric_estimate_ci_rows,ordered_ci_rows,estimate_within_ci_rows,minimum_five_rows_met,minimum_ten_rows_met,primary_candidate_by_row_count,independent_study_count,common_estimand_verified,synthesis_critical_values_human_verified,archived_structural_status,final_eligibility_status
1,nurse_staffing_mortality,effect_size,true,22,2,2,2,2,false,false,false,,false,false,insufficient_archived_effect_and_uncertainty_fields,ineligible_from_archived_schema
2,mindfulness_anxiety,effect_size,true,72,16,16,16,15,true,true,true,,false,false,candidate_pending_estimand_independence_and_human_checks,pending_case_review_and_human_verification
3,glp1_cardiovascular,hazard_ratio,true,841,319,319,319,319,true,true,true,,false,false,candidate_pending_estimand_independence_and_human_checks,pending_case_review_and_human_verification
4,ai_radiology_diagnosis,,false,2444,0,0,0,0,false,false,false,,false,false,insufficient_archived_effect_and_uncertainty_fields,ineligible_from_archived_schema
5,cash_transfers_education,effect_size,true,469,16,16,16,16,true,true,true,,false,false,candidate_pending_estimand_independence_and_human_checks,pending_case_review_and_human_verification
6,social_media_mental_health,effect_size,true,584,72,72,72,66,true,true,true,,false,false,candidate_pending_estimand_independence_and_human_checks,pending_case_review_and_human_verification
7,restorative_justice_recidivism,,false,77,0,0,0,0,false,false,false,,false,false,insufficient_archived_effect_and_uncertainty_fields,ineligible_from_archived_schema
8,gender_pay_gap,,false,308,0,0,0,0,false,false,false,,false,false,insufficient_archived_effect_and_uncertainty_fields,ineligible_from_archived_schema
9,intelligent_tutoring_scores,effect_size,true,580,6,6,6,6,true,false,false,,false,false,candidate_pending_estimand_independence_and_human_checks,pending_case_review_and_human_verification
10,game_based_learning_motivation,effect_size,true,354,4,4,4,4,false,false,false,,false,false,insufficient_archived_effect_and_uncertainty_fields,ineligible_from_archived_schema
11,class_size_achievement,effect_size,true,253,0,0,0,0,false,false,false,,false,false,insufficient_archived_effect_and_uncertainty_fields,ineligible_from_archived_schema
12,llm_higher_education,,false,1720,0,0,0,0,false,false,false,,false,false,insufficient_archived_effect_and_uncertainty_fields,ineligible_from_archived_schema
13,marine_protected_areas,effect_size,true,340,7,7,7,7,true,false,false,,false,false,candidate_pending_estimand_independence_and_human_checks,pending_case_review_and_human_verification
14,reforestation_carbon,effect_size,false,1086,0,0,0,0,false,false,false,,false,false,insufficient_archived_effect_and_uncertainty_fields,ineligible_from_archived_schema
15,indoor_air_pollution_health,effect_size,true,1350,485,485,484,468,true,true,true,,false,false,candidate_pending_estimand_independence_and_human_checks,pending_case_review_and_human_verification
16,microplastics_freshwater,,false,200,0,0,0,0,false,false,false,,false,false,insufficient_archived_effect_and_uncertainty_fields,ineligible_from_archived_schema
17,llm_reasoning_benchmarks,,false,200,0,0,0,0,false,false,false,,false,false,insufficient_archived_effect_and_uncertainty_fields,ineligible_from_archived_schema
18,federated_learning_privacy,,false,200,0,0,0,0,false,false,false,,false,false,insufficient_archived_effect_and_uncertainty_fields,ineligible_from_archived_schema
19,ai_ethics_autonomous_systems,,false,200,0,0,0,0,false,false,false,,false,false,insufficient_archived_effect_and_uncertainty_fields,ineligible_from_archived_schema
20,deep_learning_predictive_maintenance,,false,200,0,0,0,0,false,false,false,,false,false,insufficient_archived_effect_and_uncertainty_fields,ineligible_from_archived_schema
