task,sample_id,call_status,repeat_index,output_value
extraction,EXT-01-3b14f3a6cd35,ok,1,null
extraction,EXT-01-3b14f3a6cd35,ok,2,"""Minimum nurse-to-patient ratio of 1:4 versus other nurse-driven tools and nurse-management staffing methods/skill-mix patterns (more flexible staffing)"""
extraction,EXT-01-3b14f3a6cd35,ok,3,"""Minimum nurse-to-patient ratio of 1:4 versus other nurse staffing/skill mix patterns or nurse-management staffing methods"""
extraction,EXT-01-3e7effe3d288,ok,1,0.48
extraction,EXT-01-3e7effe3d288,ok,2,0.48
extraction,EXT-01-3e7effe3d288,ok,3,0.48
extraction,EXT-01-4d3f8bc82b5e,ok,1,null
extraction,EXT-01-4d3f8bc82b5e,ok,2,null
extraction,EXT-01-4d3f8bc82b5e,ok,3,null
extraction,EXT-01-4f22f8bf0a39,ok,1,459113.0
extraction,EXT-01-4f22f8bf0a39,ok,2,"""459,113 patients and 111,342 nurses (403 hospitals)"""
extraction,EXT-01-4f22f8bf0a39,ok,3,459113.0
extraction,EXT-01-6c4628b565fa,ok,1,"""Patient (in-hospital) mortality; emotional exhaustion; job dissatisfaction; nurse turnover"""
extraction,EXT-01-6c4628b565fa,ok,2,"""In-hospital (patient) mortality; emotional exhaustion; job dissatisfaction; nurse turnover"""
extraction,EXT-01-6c4628b565fa,ok,3,"""in-hospital (patient) mortality; emotional exhaustion; job dissatisfaction; nurse turnover"""
extraction,EXT-01-74ff18794044,ok,1,"""Switzerland; Canada (British Columbia)"""
extraction,EXT-01-74ff18794044,ok,2,"""Canada"""
extraction,EXT-01-74ff18794044,ok,3,"""Canada"""
extraction,EXT-01-7896be00e53d,ok,1,null
extraction,EXT-01-7896be00e53d,ok,2,null
extraction,EXT-01-7896be00e53d,ok,3,null
extraction,EXT-01-8169af27df40,ok,1,null
extraction,EXT-01-8169af27df40,ok,2,null
extraction,EXT-01-8169af27df40,ok,3,null
extraction,EXT-01-83b7f91fb02b,ok,1,"""Overstaffing versus understaffing (different nurse-to-patient ratios)"""
