case_id,slug,screened_records,exclude_labels,screening_failure_flag_present,screening_technical_failure_rate,screening_failure_identifiability,extracted_records,requested_field_cells,extraction_null_cells,extraction_null_rate,all_null_records,extraction_failure_identifiability,judge_correct_cells,judge_incorrect_cells,judge_unverifiable_cells,judge_unverifiable_rate_all_cells,all_unverifiable_records,evaluation_failure_identifiability,null_judged_correct,null_judged_incorrect,null_judged_unverifiable,nonnull_judged_correct,nonnull_judged_incorrect,nonnull_judged_unverifiable
1,nurse_staffing_mortality,90,68,false,,not_identifiable_from_archived_output,22,220,106,0.4818181818181818,0,null_conflates_not_reported_and_failure,110,4,106,0.4818181818181818,0,unverifiable_conflates_source_and_failure,0,0,106,110,4,0
2,mindfulness_anxiety,2803,2731,false,,not_identifiable_from_archived_output,72,648,223,0.3441358024691358,0,null_conflates_not_reported_and_failure,419,3,226,0.3487654320987654,0,unverifiable_conflates_source_and_failure,0,0,223,419,3,3
3,glp1_cardiovascular,5945,5104,false,,not_identifiable_from_archived_output,841,7569,3075,0.40626238604835513,1,null_conflates_not_reported_and_failure,4445,84,3040,0.4016382613291056,1,unverifiable_conflates_source_and_failure,22,18,3035,4423,66,5
4,ai_radiology_diagnosis,9929,7485,false,,not_identifiable_from_archived_output,2444,19552,6370,0.3257978723404255,0,null_conflates_not_reported_and_failure,12742,312,6498,0.33234451718494273,0,unverifiable_conflates_source_and_failure,15,2,6353,12727,310,145
5,cash_transfers_education,4447,3978,false,,not_identifiable_from_archived_output,469,3752,1796,0.47867803837953093,0,null_conflates_not_reported_and_failure,1937,15,1800,0.47974413646055436,0,unverifiable_conflates_source_and_failure,0,0,1796,1937,15,4
6,social_media_mental_health,3968,3384,false,,not_identifiable_from_archived_output,584,5256,1949,0.3708143074581431,0,null_conflates_not_reported_and_failure,3229,35,1992,0.3789954337899543,0,unverifiable_conflates_source_and_failure,4,0,1945,3225,35,47
7,restorative_justice_recidivism,4102,4025,false,,not_identifiable_from_archived_output,77,616,294,0.4772727272727273,0,null_conflates_not_reported_and_failure,317,3,296,0.4805194805194805,0,unverifiable_conflates_source_and_failure,0,0,294,317,3,2
8,gender_pay_gap,7708,7400,false,,not_identifiable_from_archived_output,308,2156,1099,0.5097402597402597,3,null_conflates_not_reported_and_failure,1049,29,1078,0.5,2,unverifiable_conflates_source_and_failure,33,0,1066,1016,29,12
9,intelligent_tutoring_scores,3962,3382,false,,not_identifiable_from_archived_output,580,5220,2878,0.5513409961685823,3,null_conflates_not_reported_and_failure,2326,11,2883,0.5522988505747126,3,unverifiable_conflates_source_and_failure,0,0,2878,2326,11,5
10,game_based_learning_motivation,993,639,false,,not_identifiable_from_archived_output,354,3186,1512,0.4745762711864407,0,null_conflates_not_reported_and_failure,1650,17,1519,0.47677338355304455,0,unverifiable_conflates_source_and_failure,2,0,1510,1648,17,9
11,class_size_achievement,4923,4670,false,,not_identifiable_from_archived_output,253,2277,1495,0.6565656565656566,6,null_conflates_not_reported_and_failure,757,19,1501,0.6592007026789636,6,unverifiable_conflates_source_and_failure,1,0,1494,756,19,7
12,llm_higher_education,8633,6913,false,,not_identifiable_from_archived_output,1720,12040,4047,0.3361295681063123,2,null_conflates_not_reported_and_failure,7973,49,4018,0.33372093023255817,1,unverifiable_conflates_source_and_failure,98,0,3949,7875,49,69
13,marine_protected_areas,3929,3589,false,,not_identifiable_from_archived_output,340,3060,1625,0.5310457516339869,0,null_conflates_not_reported_and_failure,1402,29,1629,0.5323529411764706,0,unverifiable_conflates_source_and_failure,2,0,1623,1400,29,6
14,reforestation_carbon,3960,2874,false,,not_identifiable_from_archived_output,1086,7602,3887,0.5113128124177848,6,null_conflates_not_reported_and_failure,3633,52,3917,0.5152591423309655,7,unverifiable_conflates_source_and_failure,9,0,3878,3624,52,39
15,indoor_air_pollution_health,5888,4538,false,,not_identifiable_from_archived_output,1350,10800,3667,0.339537037037037,1,null_conflates_not_reported_and_failure,6993,67,3740,0.34629629629629627,1,unverifiable_conflates_source_and_failure,11,0,3656,6982,67,84
16,microplastics_freshwater,7061,5367,false,,not_identifiable_from_archived_output,200,1200,280,0.23333333333333334,0,null_conflates_not_reported_and_failure,882,33,285,0.2375,0,unverifiable_conflates_source_and_failure,0,0,280,882,33,5
17,llm_reasoning_benchmarks,999,605,false,,not_identifiable_from_archived_output,200,1400,636,0.4542857142857143,0,null_conflates_not_reported_and_failure,749,15,636,0.4542857142857143,0,unverifiable_conflates_source_and_failure,0,0,636,749,15,0
18,federated_learning_privacy,4886,2281,false,,not_identifiable_from_archived_output,200,1400,747,0.5335714285714286,0,null_conflates_not_reported_and_failure,640,7,753,0.5378571428571428,0,unverifiable_conflates_source_and_failure,1,0,746,639,7,7
19,ai_ethics_autonomous_systems,375,61,false,,not_identifiable_from_archived_output,200,1200,363,0.3025,1,null_conflates_not_reported_and_failure,830,5,365,0.30416666666666664,1,unverifiable_conflates_source_and_failure,0,0,363,830,5,2
20,deep_learning_predictive_maintenance,9921,6152,false,,not_identifiable_from_archived_output,200,1400,592,0.4228571428571429,0,null_conflates_not_reported_and_failure,794,7,599,0.4278571428571429,0,unverifiable_conflates_source_and_failure,0,0,592,794,7,7
