sample_id,case_id,field_name,field_class,declared_type,selection_probability
EXT-01-ed5aa669382f,1,country,categorical,categorical,0.10526315789473684
EXT-01-88d69f9f616a,1,study_design,categorical,categorical,0.10526315789473684
EXT-01-930e194a7cab,1,study_design,categorical,categorical,0.10526315789473684
EXT-01-ef6739a42108,1,comparison,categorical,categorical,0.10526315789473684
EXT-01-70e6c594ef22,1,study_design,categorical,categorical,0.10526315789473684
EXT-01-37ce4aba66fb,1,study_design,categorical,categorical,0.10526315789473684
EXT-01-6fa3cc87f226,1,intervention,categorical,categorical,0.10526315789473684
EXT-01-6c4628b565fa,1,outcome,categorical,categorical,0.10526315789473684
EXT-01-007543d6b2a8,1,population,categorical,categorical,0.10526315789473684
EXT-01-6ad370713099,1,population,categorical,categorical,0.10526315789473684
EXT-01-e43ecc1b169f,1,country,categorical,categorical,1.0
EXT-01-c90084204630,1,intervention,categorical,categorical,1.0
EXT-01-74ff18794044,1,country,categorical,categorical,1.0
EXT-01-08c1b359c821,1,comparison,categorical,categorical,0.29411764705882354
EXT-01-c4a471eaa496,1,comparison,categorical,categorical,0.29411764705882354
EXT-01-83b7f91fb02b,1,comparison,categorical,categorical,0.29411764705882354
EXT-01-bf4ee96d12f4,1,study_design,categorical,categorical,0.29411764705882354
EXT-01-2b34646099d7,1,comparison,categorical,categorical,0.29411764705882354
EXT-01-8169af27df40,1,study_design,categorical,categorical,0.29411764705882354
EXT-01-be33396abce8,1,study_design,categorical,categorical,0.29411764705882354
EXT-01-2244ff325100,1,comparison,categorical,categorical,0.29411764705882354
EXT-01-6e569ed84a54,1,country,categorical,categorical,0.29411764705882354
EXT-01-3b14f3a6cd35,1,comparison,categorical,categorical,0.29411764705882354
EXT-01-1269051f5ac6,1,sample_size,potentially_synthesis_critical,numeric,0.6666666666666666
EXT-01-5ec223c39b66,1,sample_size,potentially_synthesis_critical,numeric,0.6666666666666666
EXT-01-f3a986476ff8,1,sample_size,potentially_synthesis_critical,numeric,0.6666666666666666
EXT-01-54c3614ca241,1,effect_size,potentially_synthesis_critical,numeric,0.6666666666666666
EXT-01-9cef78ed6c7d,1,sample_size,potentially_synthesis_critical,numeric,0.6666666666666666
EXT-01-ca3da2ba3627,1,ci_upper,potentially_synthesis_critical,numeric,0.6666666666666666
EXT-01-5f4bcd06cdd7,1,sample_size,potentially_synthesis_critical,numeric,0.6666666666666666
EXT-01-6cfc68d6fab1,1,ci_lower,potentially_synthesis_critical,numeric,0.6666666666666666
EXT-01-3e7effe3d288,1,ci_lower,potentially_synthesis_critical,numeric,0.6666666666666666
EXT-01-4f22f8bf0a39,1,sample_size,potentially_synthesis_critical,numeric,0.6666666666666666
EXT-01-45b0d1d16071,1,sample_size,potentially_synthesis_critical,numeric,1.0
EXT-01-7896be00e53d,1,ci_lower,potentially_synthesis_critical,numeric,0.1388888888888889
EXT-01-95a115fe7504,1,ci_lower,potentially_synthesis_critical,numeric,0.1388888888888889
EXT-01-e3532b460812,1,ci_upper,potentially_synthesis_critical,numeric,0.1388888888888889
EXT-01-4d3f8bc82b5e,1,effect_size,potentially_synthesis_critical,numeric,0.1388888888888889
EXT-01-d16ca2d03009,1,effect_size,potentially_synthesis_critical,numeric,0.1388888888888889
EXT-01-72278b1c4df3,1,ci_lower,potentially_synthesis_critical,numeric,0.1388888888888889
EXT-01-26b44893be5f,1,sample_size,potentially_synthesis_critical,numeric,0.1388888888888889
EXT-01-dea01b31ef80,1,ci_lower,potentially_synthesis_critical,numeric,0.1388888888888889
EXT-01-e8ff500847c7,1,sample_size,potentially_synthesis_critical,numeric,0.1388888888888889
EXT-01-363dd55b0b25,1,sample_size,potentially_synthesis_critical,numeric,0.1388888888888889
EXT-02-f7e33f154aa4,2,outcome,categorical,categorical,0.03436426116838488
EXT-02-c65840da4bb7,2,population,categorical,categorical,0.03436426116838488
EXT-02-4d564f331512,2,outcome,categorical,categorical,0.03436426116838488
EXT-02-46fc406a6ab2,2,outcome,categorical,categorical,0.03436426116838488
EXT-02-52c29dd15375,2,intervention,categorical,categorical,0.03436426116838488
EXT-02-0eb3dbf62aa3,2,study_design,categorical,categorical,0.03436426116838488
EXT-02-cd58cc5a4348,2,outcome,categorical,categorical,0.03436426116838488
EXT-02-acca206e0c1a,2,study_design,categorical,categorical,0.03436426116838488
EXT-02-00303e36b5eb,2,outcome,categorical,categorical,0.03436426116838488
EXT-02-fb36b35e98dc,2,population,categorical,categorical,0.03436426116838488
EXT-02-4ad14c40e8b6,2,country,categorical,categorical,1.0
EXT-02-393a850bd7a6,2,study_design,categorical,categorical,1.0
EXT-02-5397bb74fea5,2,study_design,categorical,categorical,1.0
EXT-02-d6b3b6dc609a,2,country,categorical,categorical,0.15151515151515152
EXT-02-02d3cbb9f24b,2,country,categorical,categorical,0.15151515151515152
EXT-02-a640bf716768,2,country,categorical,categorical,0.15151515151515152
EXT-02-a6b324611891,2,country,categorical,categorical,0.15151515151515152
EXT-02-fd3ed22c8a46,2,country,categorical,categorical,0.15151515151515152
EXT-02-fba15fa47f9a,2,country,categorical,categorical,0.15151515151515152
EXT-02-bb927eff742d,2,country,categorical,categorical,0.15151515151515152
EXT-02-3230599bdeb2,2,country,categorical,categorical,0.15151515151515152
EXT-02-2129103436b8,2,country,categorical,categorical,0.15151515151515152
EXT-02-b4f820f0c41f,2,country,categorical,categorical,0.15151515151515152
EXT-02-07e41b582148,2,ci_upper,potentially_synthesis_critical,numeric,0.078125
EXT-02-896f6c57a84e,2,sample_size,potentially_synthesis_critical,numeric,0.078125
EXT-02-47cf2e521b4c,2,sample_size,potentially_synthesis_critical,numeric,0.078125
EXT-02-421431934a72,2,sample_size,potentially_synthesis_critical,numeric,0.078125
EXT-02-3c608f4bd9d9,2,sample_size,potentially_synthesis_critical,numeric,0.078125
EXT-02-1ef48ce79305,2,sample_size,potentially_synthesis_critical,numeric,0.078125
EXT-02-82487210b1d9,2,sample_size,potentially_synthesis_critical,numeric,0.078125
EXT-02-15ec72e1a207,2,effect_size,potentially_synthesis_critical,numeric,0.078125
EXT-02-8f70af6699e9,2,sample_size,potentially_synthesis_critical,numeric,0.078125
EXT-02-6830204d657a,2,effect_size,potentially_synthesis_critical,numeric,0.078125
EXT-02-889204475651,2,effect_size,potentially_synthesis_critical,numeric,1.0
EXT-02-0d5b77f6c757,2,effect_size,potentially_synthesis_critical,numeric,1.0
EXT-02-9f8ddf1d5c5e,2,sample_size,potentially_synthesis_critical,numeric,1.0
EXT-02-954b3d790b91,2,ci_upper,potentially_synthesis_critical,numeric,0.06369426751592357
