case_id,slug,historical_pre_dedup_rows_reported,historical_post_dedup_rows
1,nurse_staffing_mortality,90,90
2,mindfulness_anxiety,2803,2803
3,glp1_cardiovascular,6000,5945
4,ai_radiology_diagnosis,9929,9929
5,cash_transfers_education,4600,4447
6,social_media_mental_health,3968,3968
7,restorative_justice_recidivism,4102,4102
8,gender_pay_gap,8000,7708
9,intelligent_tutoring_scores,3962,3962
10,game_based_learning_motivation,993,993
11,class_size_achievement,5000,4923
12,llm_higher_education,8633,8633
13,marine_protected_areas,3929,3929
14,reforestation_carbon,3960,3960
15,indoor_air_pollution_health,6000,5888
16,microplastics_freshwater,7061,7061
17,llm_reasoning_benchmarks,999,999
18,federated_learning_privacy,4886,4886
19,ai_ethics_autonomous_systems,377,375
20,deep_learning_predictive_maintenance,10000,9921
