sample_id,case_id,field_name,field_class,declared_type,selection_probability,raw_exact,normalized_exact,token_set_exact,all_null,all_nonnull,mixed_null,null_pattern,adjacent_null_transitions,min_pairwise_lexical_similarity,min_pairwise_nonnull_lexical_similarity,lexical_at_least_70,lexical_at_least_80,lexical_at_least_90
EXT-01-3b14f3a6cd35,1,comparison,categorical,categorical,0.2941176470588235,False,False,False,False,False,True,NVV,1,0.0,0.7037037037037037,False,False,False
EXT-01-3e7effe3d288,1,ci_lower,potentially_synthesis_critical,numeric,0.6666666666666666,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-01-4d3f8bc82b5e,1,effect_size,potentially_synthesis_critical,numeric,0.1388888888888889,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-01-4f22f8bf0a39,1,sample_size,potentially_synthesis_critical,numeric,0.6666666666666666,False,False,False,False,True,False,VVV,0,0.21818181818181817,0.21818181818181817,False,False,False
EXT-01-6c4628b565fa,1,outcome,categorical,categorical,0.1052631578947368,False,False,True,False,True,False,VVV,0,0.9058823529411765,0.9058823529411765,True,True,True
EXT-01-74ff18794044,1,country,categorical,categorical,1.0,False,False,False,False,True,False,VVV,0,0.2926829268292683,0.2926829268292683,False,False,False
EXT-01-7896be00e53d,1,ci_lower,potentially_synthesis_critical,numeric,0.1388888888888889,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-01-8169af27df40,1,study_design,categorical,categorical,0.2941176470588235,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-01-83b7f91fb02b,1,comparison,categorical,categorical,0.2941176470588235,False,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-01-930e194a7cab,1,study_design,categorical,categorical,0.1052631578947368,False,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-01-be33396abce8,1,study_design,categorical,categorical,0.2941176470588235,False,False,False,False,True,False,VVV,0,0.6666666666666666,0.6666666666666666,False,False,False
EXT-01-c90084204630,1,intervention,categorical,categorical,1.0,False,False,False,False,True,False,VVV,0,0.9349112426035503,0.9349112426035503,True,True,True
EXT-01-dea01b31ef80,1,ci_lower,potentially_synthesis_critical,numeric,0.1388888888888889,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-01-e3532b460812,1,ci_upper,potentially_synthesis_critical,numeric,0.1388888888888889,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-01-e8ff500847c7,1,sample_size,potentially_synthesis_critical,numeric,0.1388888888888889,True,True,True,True,False,False,NNN,0,1.0,,True,True,True
EXT-01-ed5aa669382f,1,country,categorical,categorical,0.1052631578947368,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-01-f3a986476ff8,1,sample_size,potentially_synthesis_critical,numeric,0.6666666666666666,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
EXT-02-15ec72e1a207,2,effect_size,potentially_synthesis_critical,numeric,0.078125,True,True,True,False,True,False,VVV,0,1.0,1.0,True,True,True
